"title","tomatometer","audience_score","url"
"Downton Abbey",84,95,"https://www.rottentomatoes.com/m/downton_abbey/"
"Ad Astra",83,42,"https://www.rottentomatoes.com/m/ad_astra/"
"Rambo: Last Blood",27,83,"https://www.rottentomatoes.com/m/rambo_last_blood/"
"It Chapter Two",63,78,"https://www.rottentomatoes.com/m/it_chapter_two/"
"Hustlers",88,66,"https://www.rottentomatoes.com/m/hustlers_2019/"
"The Lion King",53,88,"https://www.rottentomatoes.com/m/the_lion_king_2019/"
"Good Boys",80,86,"https://www.rottentomatoes.com/m/good_boys_2019/"
"Angel Has Fallen",39,93,"https://www.rottentomatoes.com/m/angel_has_fallen/"
"Overcomer",50,98,"https://www.rottentomatoes.com/m/overcomer/"
"Fast & Furious Presents: Hobbs & Shaw",67,88,"https://www.rottentomatoes.com/m/fast_and_furious_presents_hobbs_and_shaw/"
"Dora and the Lost City of Gold",84,88,"https://www.rottentomatoes.com/m/dora_and_the_lost_city_of_gold/"
"The Peanut Butter Falcon",95,96,"https://www.rottentomatoes.com/m/the_peanut_butter_falcon/"
"Brittany Runs a Marathon",88,88,"https://www.rottentomatoes.com/m/brittany_runs_a_marathon/"
"Scary Stories to Tell in the Dark",80,72,"https://www.rottentomatoes.com/m/scary_stories_to_tell_in_the_dark/"
"The Goldfinch",24,73,"https://www.rottentomatoes.com/m/the_goldfinch/"
"The Angry Birds Movie 2",73,84,"https://www.rottentomatoes.com/m/the_angry_birds_movie_2/"
"Once Upon a Time In Hollywood",85,70,"https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood/"
"Linda Ronstadt: The Sound of My Voice",88,99,"https://www.rottentomatoes.com/m/linda_ronstadt_the_sound_of_my_voice/"
"Spider-Man: Far From Home",90,95,"https://www.rottentomatoes.com/m/spider_man_far_from_home/"
"Toy Story 4",97,94,"https://www.rottentomatoes.com/m/toy_story_4/"
"Official Secrets",82,89,"https://www.rottentomatoes.com/m/official_secrets/"
"Ready or Not",88,78,"https://www.rottentomatoes.com/m/ready_or_not_2019/"
"Chhichhore",55,92,"https://www.rottentomatoes.com/m/chhichhore/"
"47 Meters Down: Uncaged",43,68,"https://www.rottentomatoes.com/m/47_meters_down_uncaged/"
"Aladdin",57,94,"https://www.rottentomatoes.com/m/aladdin/"
"Ne Zha",85,98,"https://www.rottentomatoes.com/m/ne_zha_2019/"
"The Art of Racing in the Rain",43,96,"https://www.rottentomatoes.com/m/the_art_of_racing_in_the_rain/"
"The Farewell",99,87,"https://www.rottentomatoes.com/m/the_farewell_2019/"
"Promare",93,92,"https://www.rottentomatoes.com/m/promare/"
"The Zoya Factor",44,62,"https://www.rottentomatoes.com/m/the_zoya_factor/"
"Tod@s Caen",60,93,"https://www.rottentomatoes.com/m/todos_caen/"
"Don't Let Go (Relive)",38,78,"https://www.rottentomatoes.com/m/dont_let_go_2019/"
"Annabelle Comes Home",65,70,"https://www.rottentomatoes.com/m/annabelle_comes_home/"
"Monos",93,86,"https://www.rottentomatoes.com/m/monos/"
"Blinded by the Light",88,91,"https://www.rottentomatoes.com/m/blinded_by_the_light/"
"The Bad Guys: Reign of Chaos",NA,NA,"https://www.rottentomatoes.com/m/the_bad_guys_reign_of_chaos/"
"Where's My Roy Cohn?",76,82,"https://www.rottentomatoes.com/m/wheres_my_roy_cohn/"
"Tazza: One Eyed Jack",NA,90,"https://www.rottentomatoes.com/m/tazza_one_eyed_jack/"
"Raise Hell: The Life & Times of Molly Ivins",93,100,"https://www.rottentomatoes.com/m/raise_hell_the_life_and_times_of_molly_ivins/"
"Luce",93,78,"https://www.rottentomatoes.com/m/luce/"
"Miles Davis: Birth of the Cool",95,NA,"https://www.rottentomatoes.com/m/miles_davis_birth_of_the_cool/"
"Out of Liberty",NA,50,"https://www.rottentomatoes.com/m/out_of_liberty/"
"The Kitchen",21,69,"https://www.rottentomatoes.com/m/the_kitchen/"
"Fiddler: A Miracle of Miracles",100,100,"https://www.rottentomatoes.com/m/fiddler_a_miracle_of_miracles/"
"Honeyland",99,85,"https://www.rottentomatoes.com/m/honeyland/"
"Bennett's War",50,75,"https://www.rottentomatoes.com/m/bennetts_war/"
"Where'd You Go, Bernadette",46,74,"https://www.rottentomatoes.com/m/whered_you_go_bernadette/"
"Maiden",98,97,"https://www.rottentomatoes.com/m/maiden/"
"Midsommar",83,63,"https://www.rottentomatoes.com/m/midsommar/"
"Ms. Purple",85,75,"https://www.rottentomatoes.com/m/ms_purple/"
"Série Noire",NA,93,"https://www.rottentomatoes.com/m/serie_noire_2019/"
"ANTHROPOCENE: The Human Epoch",92,NA,"https://www.rottentomatoes.com/m/anthropocene_the_human_epoch/"
"The Death of Dick Long",76,NA,"https://www.rottentomatoes.com/m/the_death_of_dick_long/"
"Abominable",80,96,"https://www.rottentomatoes.com/m/abominable/"
"Sink or Swim (Le grand bain)",75,78,"https://www.rottentomatoes.com/m/sink_or_swim_2019/"
"Joker",77,NA,"https://www.rottentomatoes.com/m/joker_2019/"
"Gregory's Girl",94,81,"https://www.rottentomatoes.com/m/gregorys_girl/"
"The Addams Family",NA,NA,"https://www.rottentomatoes.com/m/the_addams_family_2019/"
"Polaroid",NA,43,"https://www.rottentomatoes.com/m/polaroid_2019/"
